FUND_CODE	SHORT_NAME	LONG_NAME	CLASS	CODE_AND_NAME	MH_FLAG	COMMENTS	AKSAS_ACCT_ALT	ACTIVE	STAT_REF	AKSAS_FUNDS	CREATE_BY	CREATE_TIME	CHANGE_BY	CHANGE_TIME	RETAINS_INTEREST
1143	RHIF/LTC	Retiree Health Ins Fund/Long-Term Care Fund	O	1143 Retiree Health Ins Fund/Long-Term Care Fund	N	Added per Dept of Revenue's 11/4/99 request on 11/10/99 by Joan Brown.  Renamed Defined Benefits Long Term Care 06/2009.	68515	Y		11158		06:59.2	BALARSON	47:53.0	N
1144	CWF Bond	Clean Water Fund Bond Receipts	O	1144 Clean Water Fund Bond Receipts	N	Added 11/22/99 by Joan Brown to reflect change in DEC's ability to match federal funds for fund capitalization with proceeds from bonds from the clean water fund.  	51430	Y	37.15.565	21661		06:59.2	BALARSON	49:02.4	N
1145	AIPP Fund	Art in Public Places Fund	O	1145 Art in Public Places Fund	N	"Change per DLF 2/26/16. KM 
DLF changed back to Other/duplicated in July 2016. KM"	68515	Y	AS 44.27.060	11124		06:59.2	KEMAUSETH	37:35.4	N
1023	FICA Acct	FICA Administration Fund Account	O	1023 FICA Administration Fund Account	N		68515	Y	39.30.050	11110		06:59.2	BALARSON	44:12.3	N
1109	Test Fish	Test Fisheries Receipts	D	1109 Test Fisheries Receipts	N	"Transferred from Leg. Fin. 5/28/97
AKSAS fund 11100"	51064	Y	37.05.146(c)21			06:59.2	BALARSON	28:25.7	N
-2	UnknwnOthr	Unknown Other	O	-2 Unknown Other	N		0	N				06:59.2	BALARSON	26:26.8	N
1150	ASLC Div	ASLC Dividend	U	1150 ASLC Dividend	N	Deactivated 3/7/17. The ASLC dividend will be spent as 1004 UGF. Added to match Leg Finance on 3-14-00.;6/19/00 updated by OMB per DOA/finance. jm Change per ACPE request to ASLC on 11-21-02 jb	55520	N				06:59.2	KEMAUSETH	15:08.6	N
1184	GOB DSFund	General Obligation Bond Debt Service Fund	D	1184 General Obligation Bond Debt Service Fund	N	6/27/13 - DLF is now classifying this as DGF. Added 4-16-03 to account for the GO bond premium that will be used to pay debt on the bonds. 	51476	Y		14110/14112                   		06:59.2	CKOSULLIVAN	28:36.9	N
1186	ASLC Bonds	Alaska Student Loan Corporation Bond Proceeds	O	1186 Alaska Student Loan Corporation Bond Proceeds	N	added 11-24-03	51510	Y				06:59.2			N
2000	Bond Funds	Bond Proceeds	O	2000 Bond Proceeds	N	added 12-7-04	61405	Y				06:59.2			N
2001	Bonds MH	Bond Proceeds Mental Health	O	2001 Bond Proceeds Mental Health	N	Added to track the use of bond proceeds in the mental health bill in FY06.	61405	Y				06:59.2	NASTEININGER	18:13.0	N
1218	146(c)code	146(c)code	D	1218 146(c)code	N	Added just for FY11 Auto AB process.	51073	N			WBELKNAP	07:14.2	CKOSULLIVAN	15:06.8	N
1146	Fee Supp 	Inactive-Fee Supported Increase	D	1146 Inactive-Fee Supported Increase	N	Added 12/1/99 by Joan Brown for use in FY2001 budget presentation to highlight increments fully supported by increased fees or increments in programs with statutory requirements to be fully fee-supported. Ultimately not used in final approved budget.	0	N				06:59.2	CKOSULLIVAN	37:51.2	N
1147	PublicBldg	Public Building Fund	O	1147 Public Building Fund	N	Established 12/1/99 by Joan Brown for implementation of the FY2001 facilities rent structure. 	68515	Y	37.05.570	11165		06:59.2	TNARVAEZ1	34:08.5	N
1053	Invst Loss	Investment Loss Trust Fund	U	1053 Investment Loss Trust Fund	N	"When bill is run, if the only use of this fund source is in Revenue, then it is a non-gf fund source-then switch back to GF.  If used for COLA, then it needs to be kept as a GF fund code.   AKSA Fund # 33060"	51393	Y	37.14.300	33060		06:59.2	BALARSON	37:39.5	N
1139	AHFC Div	AHFC Dividend	U	1139 AHFC Dividend	N	To match Leg Finance code added for recasting by Joan Brown 11/10/99.  4-10-00 Recast grp changed from general purpose to other(recast) to match leg finance.	51407	Y				06:59.2			N
1156	Rcpt Svcs	Receipt Supported Services	D	1156 Receipt Supported Services	N	"HB 418, Ch 101 SLA 2000 and HB 262, Ch 96 SLA 2002"	51073	Y				06:59.2			N
1152	AFSC Rcpts	AK Fire Standards Council Receipts	O	1152 AK Fire Standards Council Receipts	N		51077	Y	AS 21.96.075 and AS 37.05.146(b)			06:59.2	BALARSON	59:18.1	N
1153	State Land	State Land Disposal Income Fund	D	1153 State Land Disposal Income Fund	N		68515	Y	AS 38.04.022(a) and AS 37.05.146(b)	11164		06:59.2	BALARSON	49:10.1	N
1157	Wrkrs Safe	Workers Safety and Compensation Administration Account	D	1157 Workers Safety and Compensation Administration Account	N	"HB378, SLA 00, Chap 89.
AKSAS Alternate code changed to 68515 6/15/01 as requested by Lisa Pusich in the Division of Finance."	68515	Y	23.05.067/37.05.146(b)	11173		06:59.2	AMBRYAN	01:54.6	N
1158	Emp Pay	Inactive Don't Use Employee Pay	O	1158 Inactive Don't Use Employee Pay	N	Added during 2000 session to match Leg Finance. Ultimately not used.	0	N				06:59.2			N
1154	Shore Fish	Shore Fisheries Development Lease Program	D	1154 Shore Fisheries Development Lease Program	N		51074	Y	AS 38.05.082 and AS 37.05.146(b)			06:59.2			N
1159	DWF Bond	Drinking Water Fund Bond Receipts	O	1159 Drinking Water Fund Bond Receipts	N	HB304.  	51431	Y	37.15.565	21662		06:59.2	BALARSON	51:49.4	N
1136	SBS IA	Inactive-SBS Inter Agency Receipts	O	1136 Inactive-SBS Inter Agency Receipts	N	"To match Leg Finance code added for recasting by Joan Brown 11/10/99
Leg Finance & OMB agreed not to use during 2000 session."	0	N				06:59.2			N
1028	Pre90 PRGM	Pre-FY90 Program Receipts	D	1028 Pre-FY90 Program Receipts	N	"per DOA/finance, flag as inactive. Use zero only. 6/19/00 jm"	0	N				06:59.2	CKOSULLIVAN	11:56.3	N
1106	ASLC Rcpts	Alaska Student Loan Corporation Receipts	O	1106 Alaska Student Loan Corporation Receipts	N	"Transferred from Leg. Fin. 5/28/97; update by OMB, edit to AKSAS #s. 6/19/00 jm; edited the alt. code back to 68515 from 55520. 6/20/00 jm. Changed name from AK Post-Secondary Educ Commission Receipts to ASLC Receipts to match DLF. 2-24-15 cko. "	68515	Y				06:59.2	CKOSULLIVAN	21:08.0	N
1025	Sci/Tech	Science & Technology Endowment Income	D	1025 Science & Technology Endowment Income	N	AKSA Fund # 34060 Inactivated in FY05	51375	N				06:59.2	CKOSULLIVAN	02:42.9	N
1205	Ocn Rngr	Berth Fees for the Ocean Ranger Program	O	1205 Berth Fees for the Ocean Ranger Program	N	Deposited into Fund 11174 by DEC	68515	Y	AS 46.03.480(d)	11174	SHILDEBRAND	16:21.4	KEMAUSETH	19:14.9	N
1124	Res Receip	Resource Assessment Receipts - FY88	D	1124 Resource Assessment Receipts - FY88	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	31:31.3	N
1197	AK Cap Inc	Alaska Capital Income Fund	D	1197 Alaska Capital Income Fund	N	"LFD classifies this as Other, not DGF 1/2017. 5/9/17 LFD changes this to UGF (no designation), if bill passes to use ACIF to fund deferred maintenance, then it will be changed to DGF. KM added 5-3-05
This fund is subject to the CBR sweep. 
Changed to DGF to match LF 11-28-11. cko."	68515	Y	AS 37.05.565	11185		06:59.2	NASTEININGER	08:51.2	N
1203	WCBG Fund	Workers' Compensation Benefits Guaranty Fund	D	1203 Workers' Compensation Benefits Guaranty Fund	N		68515	Y	23.30.082	11186		06:59.2	BALARSON	18:45.0	N
1127	User Fees	User Fees - FY88	D	1127 User Fees - FY88	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	31:57.6	N
1128	Child Sup	Child Support Enforcement - FY88	D	1128 Child Support Enforcement - FY88	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	32:19.6	N
1999	No ID Fund	Other Fund Source	O	1999 Other Fund Source	N		61405	Y				06:59.2			N
1131	RR Fund	"Alaska Railroad Revenue Fund - FY85, FY86, FY87"	D	"1131 Alaska Railroad Revenue Fund - FY85, FY86, FY87"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	33:36.4	N
1006	GF/MHTIA	General Fund/Mental Health Trust	O	1006 General Fund/Mental Health Trust	Y	"inactive fund code, use 1037, update by OMB. 6/20/00 jm"	0	N				06:59.2			N
1151	VoTech Ed	Technical Vocational Education Program Account	D	1151 Technical Vocational Education Program Account	N	"Updated per Leg. Finance and DOA/Finance, use 'account' instead of 'receipts' for title. 6/23/00 jm."	68515	Y	23.15.830	11166		06:59.2	TNARVAEZ1	39:29.7	N
1160	M/C Protec	Marine/Coastal Protection-Inactive	F	1160 Marine/Coastal Protection-Inactive	N	"Added by Joan Brown 9-5-00 to match Leg Finance.  This historical fund source was first used in 1976 and repealed in 1980, per Leg Finance."	0	N				06:59.2	CKOSULLIVAN	40:06.4	N
1162	AOGCC Rcpt	Alaska Oil & Gas Conservation Commission Rcpts	D	1162 Alaska Oil & Gas Conservation Commission Rcpts	N	"Added 8-1-00 by Joan Brown per AS 37.05.146(b)(4)(w), sec. 3,  ch. 34, SLA 1999."	51079	Y				06:59.2			N
1161	RRD Fund	Renewable Resources Development Fund-Inactive	D	1161 Renewable Resources Development Fund-Inactive	N	"Added by Joan Brown 9-5-00 to match Leg Finance's addition of historical fund source codes.  Per Leg Finance, this was used initially in 1974 and repealed in 1984."	0	N				06:59.2	CKOSULLIVAN	40:26.1	N
1051	RuralEcDev	Rural Economic Development Initiative Fund	D	1051 Rural Economic Development Initiative Fund	N	"Name chg from Rural Dev Initiative Fund due to SB 248, Ch 117, SLA2000. Inactivated in 01 after AIDEA Board on 2-8-01 met & authorized capitalization of new fund (new Rural Dev Initiative Fund - F#1164)& purchase of REDIF assets.  AKSAS Fund # 21644."	68515	N				06:59.2	CKOSULLIVAN	16:37.6	N
1222	REAA Fund	Regional Educational Attendance Area School Fund	O	1222 Regional Educational Attendance Area School Fund	N	"LFD has classified as Other, not DGF 1/2017. KM"	68515	Y	14.11.030	11190		29:36.3	KEMAUSETH	18:16.0	N
1033	Surpl Prop	Surplus Property Revolving Fund	F	1033 Surplus Property Revolving Fund	N		68515	Y	37.05.500/44.68.110-130	11112		06:59.2	BALARSON	50:51.0	N
1164	RDIF	Rural Development Initiative Fund	D	1164 Rural Development Initiative Fund	N	"Created by passage of SB 248, Ch 117, SLA 2000.  Supercedes former RDIF which was renamed Rural Economic Dev Loan Fund by same bill (fund source 1051). "	51435	Y	44.88.600	21663		06:59.2	BALARSON	53:38.9	N
1165	CBR/MH	CBR/Mental Health	O	1165 CBR/Mental Health	Y	"LFD has classified as Other, not UGF 1/2017. KM Added to match Leg Finance 5-1-01 (used by Senate Finance)"	61405	N				06:59.2	KEMAUSETH	15:41.7	N
1167	NTSC Bond	Northern Tobacco Securitization Corporation Bonds	O	1167 Northern Tobacco Securitization Corporation Bonds	N	"Added 5-1-01 re passage of HB 234, Tobacco Bond bill, SLA 2001. AKSAS Fund 11176 per DOF 5/2012"	51437	Y		11176		06:59.2	KEELLIOTT	09:51.6	N
1148	AATP Fund 	Accelerated Alaska Transportation Projects Fund	O	1148 Accelerated Alaska Transportation Projects Fund	N	Added 1/21/2000 as a fund source for Gov's legislation relating to issuance of state guaranteed transportation revenue anticipation bonds. Ultimately not used then. HB525 Ch 114 SLA 2002 passed and was approved by voters Nov 2002.  AKSAS Fund # 13110	51487	Y		13110		06:59.2	BALARSON	51:59.9	N
1043	Impact Aid	Impact Aid for K-12 Schools	F	1043 Impact Aid for K-12 Schools	N	Modified 7-30-01 to match Leg Finance.  Title changed from P/L 81-874 to Impact Aid.  Federal program was reauthorized.	51130	Y				06:59.2			N
1193	MaintGrant	Major Maintenance Grant Fund	D	1193 Major Maintenance Grant Fund	N	"AS 14.11.007  (created in SLA 1993, but not used again until 2004)"	51361	N		11144		06:59.2	CKOSULLIVAN	45:34.3	N
1093	Clean Air	Clean Air Protection Fund	O	1093 Clean Air Protection Fund	N	OMB created.	68515	Y	46.14.260	12133		06:59.2	BALARSON	49:27.9	N
1194	F&G Nonded	Fish and Game Nondedicated Receipts	D	1194 Fish and Game Nondedicated Receipts	N	No longer being used - see 1024. cko 5-13-14. Acct 68540 is also inactive. 51045 is used for fund code 1024.	51045	N	16.05.100	12124/12147                   		06:59.2	CKOSULLIVAN	18:50.8	N
1170	SmBusEDRLF	Small Business Economic Development Revolving Loan Fund	D	1170 Small Business Economic Development Revolving Loan Fund	N	"Added per request of DCED on Nov 15, 2001 for use in the FY03 budget.  "	51467	Y	44.88.400	21620 (rollup)                		06:59.2	BALARSON	57:58.8	N
1179	PFC 	Passenger Facility Charges	O	1179 Passenger Facility Charges	N	5-11-02  Per S CSHB 262(RLS).  Changed alternate acct 6/11/02 at DoF request. 	68515	Y	AS 37.05.146(b)(4)(BBB)/37.15.430	21603/21604                   		06:59.2	BALARSON	03:20.3	N
1126	Cont Reimb	Contract Services Reimbursement - FY88	O	1126 Contract Services Reimbursement - FY88	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm  Was fund code 1019 in FY88."	0	N				06:59.2			N
1185	ElectionFd	Election Fund (HAVA)	O	1185 Election Fund (HAVA)	N	"Added per the federal Help America Vote Act of 2002(H.R. 3295), otherwise known as HAVA. Duplicated fund source."	68515	Y		11179		06:59.2	CKOSULLIVAN	33:26.7	N
1022	Corp Rcpts	State Corporation Receipts	O	1022 State Corporation Receipts	N	This fund code was used pre-FY98 for state corporation appropriations.  This code was broken into separate fund codes for each state corporation in FY99 and is no longer used.	68515	N				06:59.2			N
1077	Gifts/Grnt	Gifts/Grants/Bequests	O	1077 Gifts/Grants/Bequests	N	This fund code was eliminated in SLA 1997 with the enactment of the statutory designated program receipts fund code 1108.	51381	N				06:59.2			N
1149	TAPL Fund	Trans-Alaska Pipeline Liability Fund	F	1149 Trans-Alaska Pipeline Liability Fund	N	Added 2/15/00 by Joan Brown. 11163 = TAPS AK Rebate Fund. KM	0	N		11163		06:59.2	KEMAUSETH	35:51.3	N
1163	COPs	Certificates of Participation	O	1163 Certificates of Participation	N	"re passage of HB 76 and sec 26, SB 29 (capital budget bill), SLA 2001. Updated 4-8-03 to match Leg Finance: deleted ""Lease Purchase"" from Certificates of Participation Lease Purchase. Changed short name from LeaseBonds to COPs."	51291	Y				06:59.2			N
1032	Fish Fund	Fishermen's Fund	D	1032 Fishermen's Fund	N	Updated 4-8-02 to match enabling statute AS 23.35.060. Former short and long names were Dis Fisher and Disabled Fishermans Reserve Account.  AKSAS fund # 11119	68515	Y	AS 23.35.060	11119		06:59.2	TNARVAEZ1	55:34.0	N
1177	ITB Endow	International Trade and Business Endowment	O	1177 International Trade and Business Endowment	N	"added 4-26-02 to match Leg Finance's use in HB 403 for FY2003 operating budget. Endowment created by Ch 55, SLA 1997.  AKSAS Fund # 34060.  Finance will inactivate fund in FY05."	51468	N				06:59.2	CKOSULLIVAN	29:24.0	N
1181	Vets Endow	Alaska Veterans' Memorial Endowment Fund	O	1181 Alaska Veterans' Memorial Endowment Fund	N		51486	Y	AS 37.14.700	36010		06:59.2	CKOSULLIVAN	21:11.3	N
1196	Master LOC	Master Lease Line of Credit	O	1196 Master Lease Line of Credit	N	Added as Alaska Senior Care Fund 1-7-05 in order for HSS to write fiscal note for successor to 1189 Senior Care Fund.  That one was later changed to 1198 and this one to Master Lease Line of Credit to sync up with Leg. Fin.	51292	Y				06:59.2	AMBRYAN	21:03.4	N
1182	Ed Cn/Mnt	Educational and Museum Facility Design/Const/MajorMaint Fund	O	1182 Educational and Museum Facility Design/Const/MajorMaint Fund	N	Proceeds of General Obligation Bonds authorized by HB 2002 (SLA 2002)--received voter approval in November 2002. 	51485	Y		13112		06:59.2	BWFECHTER	10:52.3	N
1183	Trans Proj	Transportation Project Fund	O	1183 Transportation Project Fund	N	Proceeds of General Obligation Bonds authorized in HB 525 (SLA 2002)--received voter approval in November 2002. 	51483	Y		13111		06:59.2	BALARSON	07:53.2	N
1029	P/E Retire	Public Employees Retirement System Fund	O	1029 Public Employees Retirement System Fund	N		68515	Y	39.35.010	35010		06:59.2	BALARSON	46:42.5	N
1166	Vessel Com	Commercial Passenger Vessel Environmental Compliance Fund	O	1166 Commercial Passenger Vessel Environmental Compliance Fund	N	"Added to match Leg Finance re HB 260 Cruise Ship bill, subject of June 2001 special session.  
Short Title modified 6/11 to match Leg Fin
Changed alternate acct to 68515 6/11/02"	68515	Y	"AS 46.03.482(b)(1) and (2), and (d)"	11174		06:59.2	KEMAUSETH	19:41.1	N
1169	PCE Endow	PCE Endowment Fund	D	1169 PCE Endowment Fund	N	"Per passage of HB 446 in SLA 2000. 

modified alternate to 68515 due to DoF request 6/11/02"	68515	Y	42.45.070(c)	33065		06:59.2	BALARSON	56:33.8	N
1173	Misc Earn	Miscellaneous Earnings	U	1173 Miscellaneous Earnings	N	Added 3-7-02 as a multi-purpose fund source.  Used in FY03 for 1) earnings on cash held by AHFC as a result of the sale of the tobacco settlement stream to NTSC and 2) Muni Bond Bank misc earnings.  	51475	Y				06:59.2			N
1225	CQuota RLF	Community Quota Entity Revolving Loan Fund	D	1225 Community Quota Entity Revolving Loan Fund	N	SLA HB121 sec. 9 amends sec. 16.10 - AKSAS 51506	68515	Y	16.10.345	21633	KEELLIOTT	49:30.4	KEELLIOTT	26:24.9	N
1178	tracking	tracking code	U	1178 tracking code	N	This code is used as a temporary tracking code for potential new fund codes.  It should never appear in a final bill because all new fund codes should be established before a bill is run.  Added to match Leg Finance. Changed to UGF to ensure that potential UGF spending is not understated. 1/2015.	61405	Y				06:59.2	KEMAUSETH	34:35.3	N
1112	IntAptCons	International Airports Construction Fund	O	1112 International Airports Construction Fund	N	"updated 6/17/98 by OMB, JM. rec'd from DOA, the AKSAS #. Updated again 8-13-03 by JoanB per Cristine Sullivan in Finance.  "	68515	Y	AS 37.15.420	13409 (rollup)                		06:59.2	BALARSON	34:03.3	N
1188	Fed Unrstr	Federal Unrestricted Receipts	F	1188 Federal Unrestricted Receipts	N	Added to track the $50 million in unrestricted federal tax relief funds appropriated in FY04/05.  	51010	Y				06:59.2			N
1187	Fed MH	Federal Mental Health	F	1187 Federal Mental Health	Y	Added to match Leg Fin on 1-20-04	51010	N				06:59.2	CKOSULLIVAN	45:02.9	N
1190	Adak Ops	Adak Airport Operations 	F	1190 Adak Airport Operations 	N	Established for new 5-yr DOT and Fed contract for ops and maint of Adak airport. Contract with Dept of Navy requires these funds & interest earnings be segregated from other state funds & only used for ops & maint of Adak airport. AKSAS Fund # 11181.	51484	Y		11181		06:59.2	JBROWN	45:07.2	N
1191	DEED CIP	DEED CIP Fund Equity Account	D	1191 DEED CIP Fund Equity Account	N	added 4-19-04 to match Leg Finance	51005	N				06:59.2	BALARSON	46:12.7	N
1041	PF Earn Rs	Permanent Fund Earnings Reserve Account	U	1041 Permanent Fund Earnings Reserve Account	N	Reclassified from DGF to UGF per LFD 1/2017. AKSAS Fund # 34030 used for CAFR reporting only. Reclassified from UGF to DGF Teal 10-25-11 email. 	51373	Y	37.13.145			06:59.2	KEMAUSETH	13:01.0	N
1054	Empl Trng	State Employment & Training Program	D	1054 State Employment & Training Program	N	"AS 23.15.625 provides for an account in the general fund.

AKSAS Fund # 11134"	68515	Y	AS 23.15.625	11134		06:59.2	TNARVAEZ1	01:55.0	N
1198	F&GRevBond	Alaska Fish and Game Revenue Bond Redemption Fund	O	1198 Alaska Fish and Game Revenue Bond Redemption Fund	N	Set up  in 2005 per SB 147 (ch 94 SLA 2005) sportfish hatchery bond legislation that passed.	68515	Y	AS 37.15.770	14122		06:59.2			N
1062	Power Proj	Power Project Loan Fund	D	1062 Power Project Loan Fund	N	Transferred to AEA 7/99. AKSAS Fund # 21645. Finance inactivated fund 7/99.	51350	Y	AS 42.45.010			06:59.2	JBROWN	51:49.1	N
1065	Rural Elec	Rural Electrification Revolving Loan Fund	D	1065 Rural Electrification Revolving Loan Fund	N	AKSAS Fund # 21624. Finance inactivated fund 6/95.	68515	Y				06:59.2			N
1056	Elect Svc	Electrical Service Extension Fund	D	1056 Electrical Service Extension Fund	N	AKSAS Fund #21940.  Finance inactivated fund 6/95.  Still in  budgets since then as of FY05.	68515	N				06:59.2	CKOSULLIVAN	17:18.4	N
1075	Clean Wtr	Alaska Clean Water Loan Fund	O	1075 Alaska Clean Water Loan Fund	N		68515	Y	46.03.032	21640		06:59.2	BALARSON	52:01.6	N
1079	Storg Tank	Underground Storage Tank Revolving Loan Fund	D	1079 Underground Storage Tank Revolving Loan Fund	N	AKSAS Fund # 11136	68515	Y	AS 46.03.410			06:59.2			N
1083	Educ Facil	Education Facilities Maint & Construction	D	1083 Education Facilities Maint & Construction	N	"Used in OMB front section (Sec 24, Chap.79). "	68515	N	37.16.010	11142		06:59.2	BALARSON	57:53.3	N
1085	Rail InTie	Railbelt Intertie Reserve Fund	D	1085 Railbelt Intertie Reserve Fund	N	AKSAS Fund # 11127. Finance inactivated fund 3/00.	68515	N				06:59.2	CKOSULLIVAN	20:37.0	N
1087	Muni Match	Municipal Matching Grant Fund	D	1087 Municipal Matching Grant Fund	N	Default and Alternate reversed on 7-2-01 by Joan Brown per DCED and Finance request.	51402	Y	37.06.010	11146		06:59.2	BWFECHTER	29:11.5	N
1101	AERO Rcpts	Alaska Aerospace Development Corporation Receipts	O	1101 Alaska Aerospace Development Corporation Receipts	N	Transferred from Leg. Fin. 5/28/97.  	51416	Y	14.40.841	21650		06:59.2	BALARSON	55:05.2	N
1212	Fed ARRA	Federal Stimulus: ARRA 2009	F	1212 Federal Stimulus: ARRA 2009	N	"Added in order to track the federal funds received via the American Recovery and Reinvestment Act of 2009 signed by President Obama February 17, 2009."	51118	Y			JBROWN	01:27.3	SHILDEBRAND	21:19.7	N
1052	Oil/Haz Fd	Oil/Hazardous Prevention/Response Fund	D	1052 Oil/Hazardous Prevention/Response Fund	N	"Prevention - 11122; Response - 11129; Prevention/Response Fund - 11128
IRIS - Response is fund 3208 and Prevention is fund 1052
"	68515	Y	46.08.010	11122		06:59.2	CKOSULLIVAN	45:50.8	N
1117	VocRandSh	Randolph Sheppard Small Business Fund	O	1117 Randolph Sheppard Small Business Fund	N	added 12/1/98; updated short name to match Leg. Finance record-entered 1/7/99  AKSAS funds # 11116  & 11118. Net proceeds from vending facilities on public property. May be appropriated to dept to aid licensees in operating vend machine facilities. 9/2014 - this fund code is for Randolf-Sheppard receipts only; categorized as other dedicated receipts from vendors. Revenue from facilities on state property will be appropriated using code 1237. KM per LFD	68515	Y	AS 23.15.130	11118		06:59.2	KEMAUSETH	40:41.3	N
1168	Tob Ed/Ces	Tobacco Use Education and Cessation Fund	D	1168 Tobacco Use Education and Cessation Fund	N	"Added 5/22/01 per passage of HB 234, Tobacco Bond bill, SLA 2001.

changed alternate to 68515 due to DoF request 6/11/02"	68515	Y	AS 37.05.580	11175		06:59.2	KEMAUSETH	11:32.6	N
1172	Bldg Safe	Building Safety Account	D	1172 Building Safety Account	N	Added 3-7-02 for HB262 to account for building inspection fees collected by DLWD under AS 18.60.180-.395 and elevator inspection fees collected under AS 18.60.800-.820.  Also see AS 44.31.025.	68515	Y	18.60.360(c)	11177		06:59.2	BALARSON	00:36.1	N
1176	Sci/T End	Science and Technology Endowment Fund	D	1176 Science and Technology Endowment Fund	N	Added 4-17-02 to match draft Leg Finance info.  AKSAS Fund # 34060.  Finance will inactivate fund in FY05. 	51468	N				06:59.2	CKOSULLIVAN	42:38.0	N
1011	Educ Trust	Alaska Advance College Tuition Payment Fund	O	1011 Alaska Advance College Tuition Payment Fund	N	Previous Yr-long name Alaska Education Trust Fund.  AKSAS Fund # 33050. Finance inactivated fund 3/03.	51376	N				06:59.2			N
1018	EVOSS	Exxon Valdez Oil Spill Settlement	O	1018 Exxon Valdez Oil Spill Settlement	N		68530	Y		33070		06:59.2	WCBELKNAP	52:51.4	N
1020	Grain Fund	Grain Reserve Loan Fund	D	1020 Grain Reserve Loan Fund	N	AKSAS Fund # 21636.  Finance inactivated fund in the 1990s.	68515	N				06:59.2	CKOSULLIVAN	02:23.8	N
1133	CSSD Reimb	CSSD Administrative Cost Reimbursement	F	1133 CSSD Administrative Cost Reimbursement	N	"Added 3-25-99 to match Leg Fin: Indirect Cost Reimbursement.  First used in FY99 supplemental (Ch 2 SLA 99 Sec 16(a)) for CSED. Name change 1-22-04 to match Leg Fin: CSED Admin Cost Reimbursement.12-6-04 changed to CSSD to match division name change.
"	51115	Y				06:59.2			N
1175	BLic&Corp	Business License and Corporation Filing Fees and Taxes	D	1175 Business License and Corporation Filing Fees and Taxes	N	"Added 4-9-02 to match Leg Finance. AS 37.05.144.
Amened 2-24-05 to match Leg Finance."	51173	Y				06:59.2			N
1199	SFEntAcct	Alaska Sport Fishing Enterprise Account	O	1199 Alaska Sport Fishing Enterprise Account	N	"Established per ch 94, SLA 2005 (SB 147)"	68515	Y	AS 16.05.130	12144		06:59.2	JBROWN	54:28.6	N
1219	Emrng Tech	Emerging Energy Technology Fund	O	1219 Emerging Energy Technology Fund	N		68515	N	42.45.375	11210	SHILDEBRAND	03:31.2	JRSTERN1	29:19.4	N
1116	DisRlFd	Disaster Relief Fund	O	1116 Disaster Relief Fund	N	"added 12/1/98 to match leg finance; SLA98 Ch 139, Sec 117, Pg 33 Ln 14."	68515	Y	AS 26.23.300	12120		06:59.2	KEMAUSETH	09:42.7	N
1140	AIDEA Div	AIDEA Dividend	U	1140 AIDEA Dividend	N	To match Leg Finance code added for recasting by Joan Brown 11/10/99.   4-10-00 Recast grp changed from general purpose to other(recast) to match leg finance. Unused annual dividend funds revert to UGF and may not be used the consecutive year as 1140.	51406	Y				06:59.2	TNARVAEZ1	53:09.5	N
1066	Pub School	Public School Trust Fund	O	1066 Public School Trust Fund	N	This is the Public School Trust Fund used in K-12 Foundation Program.  It is the income from the trust that is used exculusively for public school support.  Trust principal from 7/11/78 balance of public school permanent fund and one-half of one percent of the receipts derived from management of state lands.  PSTF administered by DOR and DNR. Changed from DGF to Other. 10/15/2016 KM	68515	Y	37.14.110(a)140	34012		06:59.2	WCBELKNAP	25:50.0	N
1030	School Fnd	School Fund (Cigarette Tax)	D	1030 School Fund (Cigarette Tax)	N	"This is the fund used for school debt reimbursement.  Fund receives revenue from cigarette taxes, fees, and penalties and can only be used to rehabilitate, construct, and repair school facilities or insurance on school buildings.  Updated 6/17/98 by OMB, JM. Changed AKSAS # from 60180 as requested by DOA, Finance.  AKSA Fund # 12123"	68515	Y	AS 43.50.140	12123		06:59.2	KEMAUSETH	55:26.4	N
1189	Sr Care	Senior Care Fund	D	1189 Senior Care Fund	N	"re 2004 session HB 374 and SB 259.  Appropriations in SB 283.  Modified in 2005 session, HB 106. New fund name Alaska Senior Care Fund.  Kept same fund code after discussion with Leg Finance, Finance, and Law."	68515	N	AS 47.45.360	11182		06:59.2	JRSTERN1	28:28.8	N
1200	VehRntlTax	Vehicle Rental Tax Receipts	D	1200 Vehicle Rental Tax Receipts	N	"Added 3-2-06 to conform with Leg Finance's use of this code in DCCED and DNR. Leg Finance treats as Other (restricted GF), Cheryl decided to treat as unrestricted GF as of 4-28-06."	51005	Y	AS 43.52.080	                              		06:59.2			N
