FUND_CODE		SHORT_NAME	LONG_NAME	CLASS			MH_FLAG	COMMENTS	AKSAS_ACCT_ALT	ACTIVE	STAT_REF	AKSAS_FUNDS	CREATE_BY	CREATE_TIME	CHANGE_BY	CHANGE_TIME	RETAINS_INTEREST
1097	|1097|	AETNA Res	Group Health and Life Benefits Fund (AS 39.30.095)	O	1097 Group Health and Life Benefits Fund (AS 39.30.095)	"csv_find_replace_column(""1097 AETNA Res"",""1097 Group Health and Life Benefits Fund (AS 39.30.095)"", fund_column)"	N	Created for SB1005C (2nd special session) - Rev acct only setup if needed.  	68515	Y	39.30.095	11135		06:59.2	BALARSON	51:54.0	N
1098	|1098|	ChildTrErn	Children's Trust Earnings	D	1098 Children's Trust Earnings	"csv_find_replace_column(""1098 ChildTrErn"",""1098 Children's Trust Earnings"", fund_column)"	N	By WCB 11/8/96; was 1095 by error. 'Earnings' added 12-10-96.	68515	Y	37.14.240	34052		06:59.2	BALARSON	52:15.9	N
1099	|1099|	ChildTrPrn	Children's Trust Principal	D	1099 Children's Trust Principal	"csv_find_replace_column(""1099 ChildTrPrn"",""1099 Children's Trust Principal"", fund_column)"	N	Added by Dan Spencer 12-10-96 - Rev acct only setup if needed	68515	Y	37.14.200	34051		06:59.2	BALARSON	52:28.9	N
1100	|1100|	ADWF	Alaska Drinking Water Fund	O	1100 Alaska Drinking Water Fund	"csv_find_replace_column(""1100 ADWF"",""1100 Alaska Drinking Water Fund"", fund_column)"	N		68515	Y	46.03.036	21652		06:59.2	BALARSON	52:58.2	N
1103	|1103|	AHFC Rcpts	Alaska Housing Finance Corporation Receipts	O	1103 Alaska Housing Finance Corporation Receipts	"csv_find_replace_column(""1103 AHFC Rcpts"",""1103 Alaska Housing Finance Corporation Receipts"", fund_column)"	N	Transferred from Leg. Fin. 5/28/97	51407	Y				06:59.2			N
-1	|-1|	Unknown GF	Unknown GF	O	-1 Unknown GF	"csv_find_replace_column(""-1 Unknown GF"",""-1 Unknown GF"", fund_column)"	N		0	N				06:59.2	WCBELKNAP	24:08.8	N
1102	|1102|	AIDEA Rcpt	Alaska Industrial Development & Export Authority Receipts	O	1102 Alaska Industrial Development & Export Authority Receipts	"csv_find_replace_column(""1102 AIDEA Rcpt"",""1102 Alaska Industrial Development & Export Authority Receipts"", fund_column)"	N	Transferred from Leg. Fin. 5/28/97	51406	Y				06:59.2			N
1104	|1104|	MBB Rcpts	Alaska Municipal Bond Bank Receipts	O	1104 Alaska Municipal Bond Bank Receipts	"csv_find_replace_column(""1104 MBB Rcpts"",""1104 Alaska Municipal Bond Bank Receipts"", fund_column)"	N	Transferred from Leg. Fin. 5/28/97	51417	Y				06:59.2	WBELKNAP	54:08.1	N
1105	|1105|	PFund Rcpt	Alaska Permanent Fund Corporation Receipts	O	1105 Alaska Permanent Fund Corporation Receipts	"csv_find_replace_column(""1105 PFund Rcpt"",""1105 Alaska Permanent Fund Corporation Receipts"", fund_column)"	N	"Transferred from Leg. Fin. 5/28/97; update by OMB, 6/19/00 jm.  AKSAS Fund # 34030 for CAFR reporting only."	51373	Y				06:59.2			N
1107	|1107|	AEA Rcpts	Alaska Energy Authority Corporate Receipts	O	1107 Alaska Energy Authority Corporate Receipts	"csv_find_replace_column(""1107 AEA Rcpts"",""1107 Alaska Energy Authority Corporate Receipts"", fund_column)"	N	Transferred from Leg. Fin. 5/28/97	51418	Y				06:59.2			N
1108	|1108|	Stat Desig	Statutory Designated Program Receipts	O	1108 Statutory Designated Program Receipts	"csv_find_replace_column(""1108 Stat Desig"",""1108 Statutory Designated Program Receipts"", fund_column)"	N	Transferred from Leg. Fin. 5/28/97	51063	Y				06:59.2			N
1110	|1110|	APUC Rcpts	Alaska Public Utility Commission	D	1110 Alaska Public Utility Commission	"csv_find_replace_column(""1110 APUC Rcpts"",""1110 Alaska Public Utility Commission"", fund_column)"	N	"Transferred from Leg. Fin. 5/28/97; update by OMB, edit to account alt. number 6/19/00 jm"	51066	N				06:59.2	CKOSULLIVAN	23:04.5	N
1092	|1092|	MHTAAR	Mental Health Trust Authority Authorized Receipts	O	1092 Mental Health Trust Authority Authorized Receipts	"csv_find_replace_column(""1092 MHTAAR"",""1092 Mental Health Trust Authority Authorized Receipts"", fund_column)"	Y	OMB-short name-MHTrust In; Mental Health Trust Settlement In. 	68515	Y	37.14.036	34046		06:59.2	BALARSON	49:05.6	N
9999	|9999|	No specif.	No specific fund source	O	9999 No specific fund source	"csv_find_replace_column(""9999 No specif."",""9999 No specific fund source"", fund_column)"	N	ABS setup to load conference committee change records due to fund source / line item format.	0	Y				06:59.2			N
1114	|1114|	EVOS Rest	Exxon Valdez Oil Spill Restoration Fund	O	1114 Exxon Valdez Oil Spill Restoration Fund	"csv_find_replace_column(""1114 EVOS Rest"",""1114 Exxon Valdez Oil Spill Restoration Fund"", fund_column)"	N	"updated 6/17/98 by OMB, JM."	68515	Y		11140		06:59.2	KEMAUSETH	09:22.2	N
1115	|1115|	InT/BuEnIn	International Trade and Business Endowment Income	D	1115 International Trade and Business Endowment Income	"csv_find_replace_column(""1115 InT/BuEnIn"",""1115 International Trade and Business Endowment Income"", fund_column)"	N	"Updated by OMB, RW, 8/19/98; implement AS 37.17.440 and 
SLA98, Chapter 139, Sec. 10. AKSAS Fund # 34065.  Inactivated FY05."	51422	N		                              		06:59.2	TNARVAEZ1	12:45.9	N
1119	|1119|	Tobac Setl	Tobacco Settlement	U	1119 Tobacco Settlement	"csv_find_replace_column(""1119 Tobac Setl"",""1119 Tobacco Settlement"", fund_column)"	N	"Alaska's share of the multi-state settlement with tobacco companies
Changed to UGF 11-28-11. cko."	65045	Y				06:59.2	CKOSULLIVAN	54:57.4	N
1121	|1121|	MultiFunds	Multiple Funds pre FY94	O	1121 Multiple Funds pre FY94	"csv_find_replace_column(""1121 MultiFunds"",""1121 Multiple Funds pre FY94"", fund_column)"	N	"Leg, Finance use only. Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2			N
1122	|1122|	LIC/PER/CT	License/Permits/Certification Pre 89	D	1122 License/Permits/Certification Pre 89	"csv_find_replace_column(""1122 LIC/PER/CT"",""1122 License/Permits/Certification Pre 89"", fund_column)"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	29:37.6	N
1123	|1123|	Care/Trmnt	Care and Treatment - FY88	D	1123 Care and Treatment - FY88	"csv_find_replace_column(""1123 Care/Trmnt"",""1123 Care and Treatment - FY88"", fund_column)"	N	"Leg. Finance use only
entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	30:49.1	N
1125	|1125|	APA Plant	APA Plant Maintenance & Operation - FY88	D	1125 APA Plant Maintenance & Operation - FY88	"csv_find_replace_column(""1125 APA Plant"",""1125 APA Plant Maintenance & Operation - FY88"", fund_column)"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	31:43.8	N
1129	|1129|	Legal Recp	Legal Settlement Receipts - FY88	U	1129 Legal Settlement Receipts - FY88	"csv_find_replace_column(""1129 Legal Recp"",""1129 Legal Settlement Receipts - FY88"", fund_column)"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	32:57.5	N
1130	|1130|	Handcap Fn	Handicapped Vendor Facility Fund - FY88	F	1130 Handicapped Vendor Facility Fund - FY88	"csv_find_replace_column(""1130 Handcap Fn"",""1130 Handicapped Vendor Facility Fund - FY88"", fund_column)"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	33:13.6	N
1049	|1049|	Trng Bldg	Training and Building Fund	D	1049 Training and Building Fund	"csv_find_replace_column(""1049 Trng Bldg"",""1049 Training and Building Fund"", fund_column)"	N	Dedicated fund since 1955.	68515	Y	23.20.130	12121		06:59.2	BALARSON	31:59.5	N
1174	|1174|	UA I/A	UA Intra-Agency Transfers	O	1174 UA Intra-Agency Transfers	"csv_find_replace_column(""1174 UA I/A"",""1174 UA Intra-Agency Transfers"", fund_column)"	N	Added 4-5-02 for UA.	59470	Y				06:59.2			N
1132	|1132|	Publ/Other	Publications and Other Services - FY88	D	1132 Publications and Other Services - FY88	"csv_find_replace_column(""1132 Publ/Other"",""1132 Publications and Other Services - FY88"", fund_column)"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	33:53.0	N
1096	|1096|	ILT Fund	Investment Loss Trust Fund (DO NOT USE)	U	1096 Investment Loss Trust Fund (DO NOT USE)	"csv_find_replace_column(""1096 ILT Fund"",""1096 Investment Loss Trust Fund (DO NOT USE)"", fund_column)"	N	do not use; update AKSAS field to 'none' 1/7/99 JM; changed to zero; use #1053. 6/29/2000	0	N				06:59.2	CKOSULLIVAN	21:55.5	N
1017	|1017|	Ben Sys	Benefits Systems Receipts	O	1017 Benefits Systems Receipts	"csv_find_replace_column(""1017 Ben Sys"",""1017 Benefits Systems Receipts"", fund_column)"	N		68515	Y				06:59.2			N
1035	|1035|	Vet Loan	Veterans Revolving Loan Fund	D	1035 Veterans Revolving Loan Fund	"csv_find_replace_column(""1035 Vet Loan"",""1035 Veterans Revolving Loan Fund"", fund_column)"	N		68515	Y	26.15.090	21605		06:59.2	BALARSON	21:31.4	N
1045	|1045|	Nat Guard	National Guard & Naval Militia Retirement System	O	1045 National Guard & Naval Militia Retirement System	"csv_find_replace_column(""1045 Nat Guard"",""1045 National Guard & Naval Militia Retirement System"", fund_column)"	N		68515	Y	26.05.222	35030		06:59.2	BALARSON	31:23.3	N
1055	|1055|	IA/OIL HAZ	Interagency/Oil & Hazardous Waste	O	1055 Interagency/Oil & Hazardous Waste	"csv_find_replace_column(""1055 IA/OIL HAZ"",""1055 Interagency/Oil & Hazardous Waste"", fund_column)"	N		51395	Y				06:59.2	KEMAUSETH	33:47.5	N
1064	|1064|	House Loan	Housing Assistance Loan Fund	D	1064 Housing Assistance Loan Fund	"csv_find_replace_column(""1064 House Loan"",""1064 Housing Assistance Loan Fund"", fund_column)"	N	AKSAS Fund # 21635. Finance inactivated 6/95.	68515	N				06:59.2			N
1073	|1073|	Pwr Dv RLF	Power Development Revolving Loan Fund	D	1073 Power Development Revolving Loan Fund	"csv_find_replace_column(""1073 Pwr Dv RLF"",""1073 Power Development Revolving Loan Fund"", fund_column)"	N	AKSAS Fund # 21626. Finance inactivated fund 6/95.	68515	N				06:59.2	CKOSULLIVAN	19:28.6	N
1084	|1084|	Alyeska	Alyeska Settlement Fund	O	1084 Alyeska Settlement Fund	"csv_find_replace_column(""1084 Alyeska"",""1084 Alyeska Settlement Fund"", fund_column)"	N		68515	Y		33080		06:59.2	BALARSON	58:39.1	N
1095	|1095|	Med Facil	Medical Facilities Authority Fund	O	1095 Medical Facilities Authority Fund	"csv_find_replace_column(""1095 Med Facil"",""1095 Medical Facilities Authority Fund"", fund_column)"	N	probably a one time - Rev acct only setup if needed	0	N				06:59.2			N
1113	|1113|	AHFC Bonds	Alaska Housing Finance Corporation Bonds	O	1113 Alaska Housing Finance Corporation Bonds	"csv_find_replace_column(""1113 AHFC Bonds"",""1113 Alaska Housing Finance Corporation Bonds"", fund_column)"	N	"updated 6/17/98 by OMB, JM. rec'd from DOA the AKSAS#."	51419	Y				06:59.2			N
1118	|1118|	Pioneers' 	Pioneers' Homes Receipts	D	1118 Pioneers' Homes Receipts	"csv_find_replace_column(""1118 Pioneers' "",""1118 Pioneers' Homes Receipts"", fund_column)"	N	"New fund source to reflect legislative proposal.
rec'd account code from DOA Finance 6/9/99."	51123	N				06:59.2	CKOSULLIVAN	23:27.3	N
1224	|1224|	MariculRLF	Mariculture Revolving Loan Fund	D	1224 Mariculture Revolving Loan Fund	"csv_find_replace_column(""1224 MariculRLF"",""1224 Mariculture Revolving Loan Fund"", fund_column)"	N	SLA2012 HB121 - AKSAS 51507	68515	Y	16.10.900	21634	KEELLIOTT	36:43.6	KEELLIOTT	25:50.3	N
1135	|1135|	AMHS Dup	Marine Highway Duplicated Expenditures	D	1135 Marine Highway Duplicated Expenditures	"csv_find_replace_column(""1135 AMHS Dup"",""1135 Marine Highway Duplicated Expenditures"", fund_column)"	N	To match Leg Finance code added for recasting by Joan Brown 11/10/99.  AKSAS Fund # 12135.	68515	N				06:59.2	CKOSULLIVAN	37:33.8	N
1137	|1137|	DComp IA	Inactive-Deferred Compensation Inter Agency Receipts	O	1137 Inactive-Deferred Compensation Inter Agency Receipts	"csv_find_replace_column(""1137 DComp IA"",""1137 Inactive-Deferred Compensation Inter Agency Receipts"", fund_column)"	N	"To match Leg Finance code added for recasting by Joan Brown 11/10/99
Leg Finance and OMB agreed not to use during 2000 session."	0	N				06:59.2			N
1229	|1229|	AGDC-ISP	AK Gasline Development Corporation In-state Pipeline Fund	O	1229 AK Gasline Development Corporation In-state Pipeline Fund	"csv_find_replace_column(""1229 AGDC-ISP"",""1229 AK Gasline Development Corporation In-state Pipeline Fund"", fund_column)"	N	"3/14: change name from In-State Natural Gas Pipleline Fund to AGDC In-state Pipleline Fund to match LFD KM
HB4 SLA2013
6/20/13 added unrestricted as default 68515 per DOF
subfund of AK Gasline Development Corp"	68515	Y	AS 31.25.100	34077	KEELLIOTT	16:21.2	KEMAUSETH	08:36.8	N
1138	|1138|	Hlth I/A	Inactive-Health Inter-Agency Receipts	O	1138 Inactive-Health Inter-Agency Receipts	"csv_find_replace_column(""1138 Hlth I/A"",""1138 Inactive-Health Inter-Agency Receipts"", fund_column)"	N	"To match Leg Finance code added for recasting by Joan Brown 11/10/99
Leg Finance and OMB agreed not to use during 2000 session."	0	N				06:59.2			N
1141	|1141|	RCA Rcpts	RCA Receipts	D	1141 RCA Receipts	"csv_find_replace_column(""1141 RCA Rcpts"",""1141 RCA Receipts"", fund_column)"	N	"To reflect the statutory change in SB 133, CH 25, SLA 1999"	51066	Y				06:59.2			N
1142	|1142|	RHIF/MM   	Retiree Health Ins Fund/Major Medical	O	1142 Retiree Health Ins Fund/Major Medical	"csv_find_replace_column(""1142 RHIF/MM   "",""1142 Retiree Health Ins Fund/Major Medical"", fund_column)"	N	Added per Dept of Revenue's request of 11/4/99 on 11/10/99 by Joan Brown.  Renamed to Defined Benefits Major Medical 06-2009.	68515	Y		11156		06:59.2	BALARSON	47:20.4	N
1143	|1143|	RHIF/LTC	Retiree Health Ins Fund/Long-Term Care Fund	O	1143 Retiree Health Ins Fund/Long-Term Care Fund	"csv_find_replace_column(""1143 RHIF/LTC"",""1143 Retiree Health Ins Fund/Long-Term Care Fund"", fund_column)"	N	Added per Dept of Revenue's 11/4/99 request on 11/10/99 by Joan Brown.  Renamed Defined Benefits Long Term Care 06/2009.	68515	Y		11158		06:59.2	BALARSON	47:53.0	N
1144	|1144|	CWF Bond	Clean Water Fund Bond Receipts	O	1144 Clean Water Fund Bond Receipts	"csv_find_replace_column(""1144 CWF Bond"",""1144 Clean Water Fund Bond Receipts"", fund_column)"	N	Added 11/22/99 by Joan Brown to reflect change in DEC's ability to match federal funds for fund capitalization with proceeds from bonds from the clean water fund.  	51430	Y	37.15.565	21661		06:59.2	BALARSON	49:02.4	N
1145	|1145|	AIPP Fund	Art in Public Places Fund	O	1145 Art in Public Places Fund	"csv_find_replace_column(""1145 AIPP Fund"",""1145 Art in Public Places Fund"", fund_column)"	N	"Change per DLF 2/26/16. KM 
DLF changed back to Other/duplicated in July 2016. KM"	68515	Y	AS 44.27.060	11124		06:59.2	KEMAUSETH	37:35.4	N
1023	|1023|	FICA Acct	FICA Administration Fund Account	O	1023 FICA Administration Fund Account	"csv_find_replace_column(""1023 FICA Acct"",""1023 FICA Administration Fund Account"", fund_column)"	N		68515	Y	39.30.050	11110		06:59.2	BALARSON	44:12.3	N
1109	|1109|	Test Fish	Test Fisheries Receipts	D	1109 Test Fisheries Receipts	"csv_find_replace_column(""1109 Test Fish"",""1109 Test Fisheries Receipts"", fund_column)"	N	"Transferred from Leg. Fin. 5/28/97
AKSAS fund 11100"	51064	Y	37.05.146(c)21			06:59.2	BALARSON	28:25.7	N
-2	|-2|	UnknwnOthr	Unknown Other	O	-2 Unknown Other	"csv_find_replace_column(""-2 UnknwnOthr"",""-2 Unknown Other"", fund_column)"	N		0	N				06:59.2	BALARSON	26:26.8	N
1150	|1150|	ASLC Div	ASLC Dividend	U	1150 ASLC Dividend	"csv_find_replace_column(""1150 ASLC Div"",""1150 ASLC Dividend"", fund_column)"	N	Deactivated 3/7/17. The ASLC dividend will be spent as 1004 UGF. Added to match Leg Finance on 3-14-00.;6/19/00 updated by OMB per DOA/finance. jm Change per ACPE request to ASLC on 11-21-02 jb	55520	N				06:59.2	KEMAUSETH	15:08.6	N
1184	|1184|	GOB DSFund	General Obligation Bond Debt Service Fund	D	1184 General Obligation Bond Debt Service Fund	"csv_find_replace_column(""1184 GOB DSFund"",""1184 General Obligation Bond Debt Service Fund"", fund_column)"	N	6/27/13 - DLF is now classifying this as DGF. Added 4-16-03 to account for the GO bond premium that will be used to pay debt on the bonds. 	51476	Y		14110/14112                   		06:59.2	CKOSULLIVAN	28:36.9	N
1186	|1186|	ASLC Bonds	Alaska Student Loan Corporation Bond Proceeds	O	1186 Alaska Student Loan Corporation Bond Proceeds	"csv_find_replace_column(""1186 ASLC Bonds"",""1186 Alaska Student Loan Corporation Bond Proceeds"", fund_column)"	N	added 11-24-03	51510	Y				06:59.2			N
2000	|2000|	Bond Funds	Bond Proceeds	O	2000 Bond Proceeds	"csv_find_replace_column(""2000 Bond Funds"",""2000 Bond Proceeds"", fund_column)"	N	added 12-7-04	61405	Y				06:59.2			N
2001	|2001|	Bonds MH	Bond Proceeds Mental Health	O	2001 Bond Proceeds Mental Health	"csv_find_replace_column(""2001 Bonds MH"",""2001 Bond Proceeds Mental Health"", fund_column)"	N	Added to track the use of bond proceeds in the mental health bill in FY06.	61405	Y				06:59.2	NASTEININGER	18:13.0	N
1218	|1218|	146(c)code	146(c)code	D	1218 146(c)code	"csv_find_replace_column(""1218 146(c)code"",""1218 146(c)code"", fund_column)"	N	Added just for FY11 Auto AB process.	51073	N			WBELKNAP	07:14.2	CKOSULLIVAN	15:06.8	N
1146	|1146|	Fee Supp 	Inactive-Fee Supported Increase	D	1146 Inactive-Fee Supported Increase	"csv_find_replace_column(""1146 Fee Supp "",""1146 Inactive-Fee Supported Increase"", fund_column)"	N	Added 12/1/99 by Joan Brown for use in FY2001 budget presentation to highlight increments fully supported by increased fees or increments in programs with statutory requirements to be fully fee-supported. Ultimately not used in final approved budget.	0	N				06:59.2	CKOSULLIVAN	37:51.2	N
1147	|1147|	PublicBldg	Public Building Fund	O	1147 Public Building Fund	"csv_find_replace_column(""1147 PublicBldg"",""1147 Public Building Fund"", fund_column)"	N	Established 12/1/99 by Joan Brown for implementation of the FY2001 facilities rent structure. 	68515	Y	37.05.570	11165		06:59.2	TNARVAEZ1	34:08.5	N
1053	|1053|	Invst Loss	Investment Loss Trust Fund	U	1053 Investment Loss Trust Fund	"csv_find_replace_column(""1053 Invst Loss"",""1053 Investment Loss Trust Fund"", fund_column)"	N	"When bill is run, if the only use of this fund source is in Revenue, then it is a non-gf fund source-then switch back to GF.  If used for COLA, then it needs to be kept as a GF fund code.   AKSA Fund # 33060"	51393	Y	37.14.300	33060		06:59.2	BALARSON	37:39.5	N
1139	|1139|	AHFC Div	AHFC Dividend	U	1139 AHFC Dividend	"csv_find_replace_column(""1139 AHFC Div"",""1139 AHFC Dividend"", fund_column)"	N	To match Leg Finance code added for recasting by Joan Brown 11/10/99.  4-10-00 Recast grp changed from general purpose to other(recast) to match leg finance.	51407	Y				06:59.2			N
1156	|1156|	Rcpt Svcs	Receipt Supported Services	D	1156 Receipt Supported Services	"csv_find_replace_column(""1156 Rcpt Svcs"",""1156 Receipt Supported Services"", fund_column)"	N	"HB 418, Ch 101 SLA 2000 and HB 262, Ch 96 SLA 2002"	51073	Y				06:59.2			N
1152	|1152|	AFSC Rcpts	AK Fire Standards Council Receipts	O	1152 AK Fire Standards Council Receipts	"csv_find_replace_column(""1152 AFSC Rcpts"",""1152 AK Fire Standards Council Receipts"", fund_column)"	N		51077	Y	AS 21.96.075 and AS 37.05.146(b)			06:59.2	BALARSON	59:18.1	N
1153	|1153|	State Land	State Land Disposal Income Fund	D	1153 State Land Disposal Income Fund	"csv_find_replace_column(""1153 State Land"",""1153 State Land Disposal Income Fund"", fund_column)"	N		68515	Y	AS 38.04.022(a) and AS 37.05.146(b)	11164		06:59.2	BALARSON	49:10.1	N
1157	|1157|	Wrkrs Safe	Workers Safety and Compensation Administration Account	D	1157 Workers Safety and Compensation Administration Account	"csv_find_replace_column(""1157 Wrkrs Safe"",""1157 Workers Safety and Compensation Administration Account"", fund_column)"	N	"HB378, SLA 00, Chap 89.
AKSAS Alternate code changed to 68515 6/15/01 as requested by Lisa Pusich in the Division of Finance."	68515	Y	23.05.067/37.05.146(b)	11173		06:59.2	AMBRYAN	01:54.6	N
1158	|1158|	Emp Pay	Inactive Don't Use Employee Pay	O	1158 Inactive Don't Use Employee Pay	"csv_find_replace_column(""1158 Emp Pay"",""1158 Inactive Don't Use Employee Pay"", fund_column)"	N	Added during 2000 session to match Leg Finance. Ultimately not used.	0	N				06:59.2			N
1154	|1154|	Shore Fish	Shore Fisheries Development Lease Program	D	1154 Shore Fisheries Development Lease Program	"csv_find_replace_column(""1154 Shore Fish"",""1154 Shore Fisheries Development Lease Program"", fund_column)"	N		51074	Y	AS 38.05.082 and AS 37.05.146(b)			06:59.2			N
1159	|1159|	DWF Bond	Drinking Water Fund Bond Receipts	O	1159 Drinking Water Fund Bond Receipts	"csv_find_replace_column(""1159 DWF Bond"",""1159 Drinking Water Fund Bond Receipts"", fund_column)"	N	HB304.  	51431	Y	37.15.565	21662		06:59.2	BALARSON	51:49.4	N
1136	|1136|	SBS IA	Inactive-SBS Inter Agency Receipts	O	1136 Inactive-SBS Inter Agency Receipts	"csv_find_replace_column(""1136 SBS IA"",""1136 Inactive-SBS Inter Agency Receipts"", fund_column)"	N	"To match Leg Finance code added for recasting by Joan Brown 11/10/99
Leg Finance & OMB agreed not to use during 2000 session."	0	N				06:59.2			N
1028	|1028|	Pre90 PRGM	Pre-FY90 Program Receipts	D	1028 Pre-FY90 Program Receipts	"csv_find_replace_column(""1028 Pre90 PRGM"",""1028 Pre-FY90 Program Receipts"", fund_column)"	N	"per DOA/finance, flag as inactive. Use zero only. 6/19/00 jm"	0	N				06:59.2	CKOSULLIVAN	11:56.3	N
1106	|1106|	ASLC Rcpts	Alaska Student Loan Corporation Receipts	O	1106 Alaska Student Loan Corporation Receipts	"csv_find_replace_column(""1106 ASLC Rcpts"",""1106 Alaska Student Loan Corporation Receipts"", fund_column)"	N	"Transferred from Leg. Fin. 5/28/97; update by OMB, edit to AKSAS #s. 6/19/00 jm; edited the alt. code back to 68515 from 55520. 6/20/00 jm. Changed name from AK Post-Secondary Educ Commission Receipts to ASLC Receipts to match DLF. 2-24-15 cko. "	68515	Y				06:59.2	CKOSULLIVAN	21:08.0	N
1025	|1025|	Sci/Tech	Science & Technology Endowment Income	D	1025 Science & Technology Endowment Income	"csv_find_replace_column(""1025 Sci/Tech"",""1025 Science & Technology Endowment Income"", fund_column)"	N	AKSA Fund # 34060 Inactivated in FY05	51375	N				06:59.2	CKOSULLIVAN	02:42.9	N
1205	|1205|	Ocn Rngr	Berth Fees for the Ocean Ranger Program	O	1205 Berth Fees for the Ocean Ranger Program	"csv_find_replace_column(""1205 Ocn Rngr"",""1205 Berth Fees for the Ocean Ranger Program"", fund_column)"	N	Deposited into Fund 11174 by DEC	68515	Y	AS 46.03.480(d)	11174	SHILDEBRAND	16:21.4	KEMAUSETH	19:14.9	N
1124	|1124|	Res Receip	Resource Assessment Receipts - FY88	D	1124 Resource Assessment Receipts - FY88	"csv_find_replace_column(""1124 Res Receip"",""1124 Resource Assessment Receipts - FY88"", fund_column)"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	31:31.3	N
1197	|1197|	AK Cap Inc	Alaska Capital Income Fund	D	1197 Alaska Capital Income Fund	"csv_find_replace_column(""1197 AK Cap Inc"",""1197 Alaska Capital Income Fund"", fund_column)"	N	"LFD classifies this as Other, not DGF 1/2017. 5/9/17 LFD changes this to UGF (no designation), if bill passes to use ACIF to fund deferred maintenance, then it will be changed to DGF. KM added 5-3-05
This fund is subject to the CBR sweep. 
Changed to DGF to match LF 11-28-11. cko."	68515	Y	AS 37.05.565	11185		06:59.2	NASTEININGER	08:51.2	N
1203	|1203|	WCBG Fund	Workers' Compensation Benefits Guaranty Fund	D	1203 Workers' Compensation Benefits Guaranty Fund	"csv_find_replace_column(""1203 WCBG Fund"",""1203 Workers' Compensation Benefits Guaranty Fund"", fund_column)"	N		68515	Y	23.30.082	11186		06:59.2	BALARSON	18:45.0	N
1127	|1127|	User Fees	User Fees - FY88	D	1127 User Fees - FY88	"csv_find_replace_column(""1127 User Fees"",""1127 User Fees - FY88"", fund_column)"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	31:57.6	N
1128	|1128|	Child Sup	Child Support Enforcement - FY88	D	1128 Child Support Enforcement - FY88	"csv_find_replace_column(""1128 Child Sup"",""1128 Child Support Enforcement - FY88"", fund_column)"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	32:19.6	N
1999	|1999|	No ID Fund	Other Fund Source	O	1999 Other Fund Source	"csv_find_replace_column(""1999 No ID Fund"",""1999 Other Fund Source"", fund_column)"	N		61405	Y				06:59.2			N
1131	|1131|	RR Fund	"Alaska Railroad Revenue Fund - FY85, FY86, FY87"	D	"1131 Alaska Railroad Revenue Fund - FY85, FY86, FY87"	"csv_find_replace_column(""1131 RR Fund"",""1131 Alaska Railroad Revenue Fund - FY85, FY86, FY87"", fund_column)"	N	"Leg. Finance use only
Entered by JM 1/7/99; 6/19/00 per DOA/finance, flag as zero AKSAS #s. jm"	0	N				06:59.2	CKOSULLIVAN	33:36.4	N
1006	|1006|	GF/MHTIA	General Fund/Mental Health Trust	O	1006 General Fund/Mental Health Trust	"csv_find_replace_column(""1006 GF/MHTIA"",""1006 General Fund/Mental Health Trust"", fund_column)"	Y	"inactive fund code, use 1037, update by OMB. 6/20/00 jm"	0	N				06:59.2			N
1151	|1151|	VoTech Ed	Technical Vocational Education Program Account	D	1151 Technical Vocational Education Program Account	"csv_find_replace_column(""1151 VoTech Ed"",""1151 Technical Vocational Education Program Account"", fund_column)"	N	"Updated per Leg. Finance and DOA/Finance, use 'account' instead of 'receipts' for title. 6/23/00 jm."	68515	Y	23.15.830	11166		06:59.2	TNARVAEZ1	39:29.7	N
1160	|1160|	M/C Protec	Marine/Coastal Protection-Inactive	F	1160 Marine/Coastal Protection-Inactive	"csv_find_replace_column(""1160 M/C Protec"",""1160 Marine/Coastal Protection-Inactive"", fund_column)"	N	"Added by Joan Brown 9-5-00 to match Leg Finance.  This historical fund source was first used in 1976 and repealed in 1980, per Leg Finance."	0	N				06:59.2	CKOSULLIVAN	40:06.4	N
